compound_id	SMILES	pic50
134	Cn1nc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cc1-c1ccccn1	6.89635701199252
135	Cc1c(Br)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	9.36369401511277
136	CCN(C)C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2cc(-c3cccc(OC)c3)nc2C1	5.76113478208281
137	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1cn(-c2ccc3ccccc3n2)cn1	9.15676722190199
138	Cc1cc(C#Cc2nc(N3CCCC3)nn2C)nn2c(C)c(C(F)(F)F)nc12	9.19246497193115
139	COC1CN(C(=O)c2cnn(C)c2C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)C1	7.61042150671577
140	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(F)c3)nc2c1	8.97357418563019
141	Cc1cccc(-c2cn3c(n2)C[C@H](NC(=O)c2c(C(=O)N4CCC4)cnn2C)CC3)c1	8.13335827943396
142	Cc1oc(-c2ccccc2)nc1CCc1cccc(N2CCCC2)n1	5.69688519133595
143	CC(=O)Oc1cccc(-c2cn3ccc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)nc3n2)c1	7.43700569205258
144	CCN(C)C(=O)c1c(C(=O)Nc2ccn3cc(-c4ccccc4)nc3n2)cnn1C	5
145	CNC(=O)c1cc(CCc2nc(N3CCCC3)nn2C)nn2c(C)c(C(F)(F)F)nc12	7.86458109497215
146	COCCOc1cc(Cl)c(C)n2nc(CCc3nc(N4CCCC4)nn3C)nc12	9.76457621812848
147	COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3ccnc(F)c3)nc2n1	6.1075942644068
148	COc1cccc(-c2cn3c(n2)C[C@H](NC(=O)c2c(C(=O)N4CCC4)cnn2C)CC3)c1	6.04049544820861
149	Cc1ncc(C)n2nc(CCc3nc(-n4ccccc4=O)cn3C)nc12	6.71085716406767
150	O=C1c2ccccc2C(=O)N1CCc1nc(-c2ccccc2)cs1	6.46544721866036
151	Cn1cc(-c2cccnc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)cnn1C	7.96022907306842
152	CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1oc(COCc2ccccc2)nc1C	7.29539482779902
153	Cn1ncc(C(=O)NCc2ccno2)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1	7.45523763978337
154	Cc1c(Cl)cc(C(F)(F)F)c2nc(/C=C/c3nc(N4CCCC4)nn3C)nn12	8.56177419239547
155	Cc1c(C(F)F)nc2ccc(C#Cc3nc(N4CCCC4)nn3C)nn12	8.32403845035783
156	Cn1nc(N2CCCC2)nc1CCc1nc2cc(C#N)ccn2n1	6.49857372911059
157	Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	8.96028411928703
158	Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)n(C)n3)nn12	9.35261702988538
159	Cn1nc(-c2cccc(Cl)n2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.55799084085905
160	COc1cccc(-c2nc3cc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)ccn3n2)n1	8.9613798380503
161	Cn1ncc(C(=O)N2CCC2)c1C(=O)N[C@@H]1CCn2cc(-c3cccc(Cl)c3)nc2C1	8.18131233655849
162	Clc1ccc2nc(CCc3cccc(N4CCCC4)n3)nc(N3CCOCC3)c2c1	8.47599355444263
163	CCc1nc(C)c(C(=O)Nc2cc3nc(-c4ccccc4)[nH]c3cc2C(=O)NCC2(CO)COC2)o1	8.13828641242857
164	Cn1cc(-c2ccccc2)nc1C#Cc1ccc2nc(C(F)(F)F)cn2n1	7.92125326572639
165	Cn1ncc(C(=O)N2CC(F)C2)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1	9.44471187820255
166	Cc1nnc2c(C(=O)NCCc3nc(-c4ccccc4)cn3C)cccn12	7.02260566900662
167	CN(C)c1cc(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)cc(Cl)n1	6.88061212637766
168	Cn1cc(-c2ccccc2)nc1COc1ccc2nc(C3CC3)c(CO)n2n1	6.77763214454674
169	Cn1cc(-c2ccccc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)nnn1C	7.13278007750874
170	Cn1cc(-c2ccccc2)nc1CCc1nc(O)c2ccccc2n1	7.22425851894358
171	CCc1cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C)nn2c1C	8.4728993048081
172	Cn1ncc(-c2ccccc2)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1	6.87950174791096
173	Cc1c(-c2ccccc2)nc2n1CC[C@@H](NC(=O)c1c(C(=O)N3CCC3)cnn1C)C2	7.95892328028452
174	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccc2sc(-c3ccccc3)nc2c1	9.11294562194904
175	CCOC(=O)c1cnn(C)c1C(=O)Nc1ccn2nc(-c3cccc(F)c3)nc2c1	7.33680809083911
176	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(F)n3)nc2c1	8.92045699259709
177	O=C1c2ccccc2C(=O)N1CCc1csc(-c2ccccc2)n1	5.59845178973504
178	CCc1nc(C)c(C(=O)Nc2cc3nc(-c4ccccc4)[nH]c3cc2C(=O)NCC2(C)COC2)o1	8.45234834164003
179	CNC(=O)c1nc(-c2ccccn2)sc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.86582289242323
180	Cn1cc(-c2ccccc2)nc1/C=C/c1ccc2ccccc2n1	6.56619657553582
181	O=C(NCCCc1noc(-c2ccccc2)n1)c1nc(C2CC2)cnc1Nc1cncnc1	6.30510975179132
182	Cn1cc(-c2ccccc2)nc1CCNC(=O)c1cccn2cnnc12	6.40578982529012
183	Cn1cnc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1	7.6711516930888
184	CNC(=O)c1cn2cc(-c3ccccc3)nc2cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	9.64945943566253
185	COc1cc(-c2nc3cc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)ccn3n2)ccn1	8.3253225321268
186	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccnc3F)nc2c1	8.33208031468264
187	Cc1c(Cl)cc(C(F)F)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	8.77696832018744
188	Cc1cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C)nn2c1C	8.83743559347698
189	Cc1nc2ccc(CCc3nc(-c4cccnc4)cn3C)nn2c1C	5.77262807227759
190	CN(CCF)C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2cc(-c3ccccc3)nc2C1	6.68743563969809
191	Cn1cc(-c2ccccc2)nc1COc1ncc(C2CC2)nc1C(=O)NCC1CC1	6.65405020661849
192	CN(C(=O)c1cnn(C)c1C(=O)N[C@@H]1CCn2cc(-c3ccccc3OC(F)F)nc2C1)C1CC1	8.09816040794877
